NAME	original_cell_subset	CellType	Patient_ID	filename	dataset	nUMIs	Sample_ID	Gender	Age	barcodes	Count
TYPE	group	group	group	group	group	numeric	group	group	group	group	numeric
HP1504101T2D_L21	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	659308	HP1504101T2D	NA	NA	HP1504101T2D_L21	1
HP1504101T2D_L22	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1228484	HP1504101T2D	NA	NA	HP1504101T2D_L22	1
HP1504101T2D_L24	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	838029	HP1504101T2D	NA	NA	HP1504101T2D_L24	1
HP1504101T2D_L3	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	812472	HP1504101T2D	NA	NA	HP1504101T2D_L3	1
HP1504101T2D_L4	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1654489	HP1504101T2D	NA	NA	HP1504101T2D_L4	1
HP1504101T2D_L6	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	685232	HP1504101T2D	NA	NA	HP1504101T2D_L6	1
HP1504101T2D_L7	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	780960	HP1504101T2D	NA	NA	HP1504101T2D_L7	1
HP1504101T2D_L8	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	253935	HP1504101T2D	NA	NA	HP1504101T2D_L8	1
HP1504101T2D_M1	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	384754	HP1504101T2D	NA	NA	HP1504101T2D_M1	1
HP1504101T2D_M10	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	61656	HP1504101T2D	NA	NA	HP1504101T2D_M10	1
HP1504101T2D_M12	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	654543	HP1504101T2D	NA	NA	HP1504101T2D_M12	1
HP1504101T2D_M13	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	35428	HP1504101T2D	NA	NA	HP1504101T2D_M13	1
HP1504101T2D_M14	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	753221	HP1504101T2D	NA	NA	HP1504101T2D_M14	1
HP1504101T2D_M15	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1331279	HP1504101T2D	NA	NA	HP1504101T2D_M15	1
HP1504101T2D_M16	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	581576	HP1504101T2D	NA	NA	HP1504101T2D_M16	1
HP1504101T2D_M18	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	721908	HP1504101T2D	NA	NA	HP1504101T2D_M18	1
HP1504101T2D_M19	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	75299	HP1504101T2D	NA	NA	HP1504101T2D_M19	1
HP1504101T2D_M20	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	1558109	HP1504101T2D	NA	NA	HP1504101T2D_M20	1
HP1504101T2D_M21	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1518638	HP1504101T2D	NA	NA	HP1504101T2D_M21	1
HP1504101T2D_M22	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	309915	HP1504101T2D	NA	NA	HP1504101T2D_M22	1
HP1504101T2D_M23	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	26797	HP1504101T2D	NA	NA	HP1504101T2D_M23	1
HP1504101T2D_M24	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	2044536	HP1504101T2D	NA	NA	HP1504101T2D_M24	1
HP1504101T2D_M3	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	36937	HP1504101T2D	NA	NA	HP1504101T2D_M3	1
HP1504101T2D_M4	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	497674	HP1504101T2D	NA	NA	HP1504101T2D_M4	1
HP1504101T2D_M5	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	705833	HP1504101T2D	NA	NA	HP1504101T2D_M5	1
HP1504101T2D_M6	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1338223	HP1504101T2D	NA	NA	HP1504101T2D_M6	1
HP1504101T2D_M7	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	3377516	HP1504101T2D	NA	NA	HP1504101T2D_M7	1
HP1504101T2D_M8	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	2448719	HP1504101T2D	NA	NA	HP1504101T2D_M8	1
HP1504101T2D_M9	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	965070	HP1504101T2D	NA	NA	HP1504101T2D_M9	1
HP1504101T2D_N1	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	3194926	HP1504101T2D	NA	NA	HP1504101T2D_N1	1
HP1504101T2D_N10	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	2122643	HP1504101T2D	NA	NA	HP1504101T2D_N10	1
HP1504101T2D_N11	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	872833	HP1504101T2D	NA	NA	HP1504101T2D_N11	1
HP1504101T2D_N12	Ductal	Epithelial (Ductal)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1981412	HP1504101T2D	NA	NA	HP1504101T2D_N12	1
HP1504101T2D_N13	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	2591677	HP1504101T2D	NA	NA	HP1504101T2D_N13	1
HP1504101T2D_N14	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1339984	HP1504101T2D	NA	NA	HP1504101T2D_N14	1
HP1504101T2D_N15	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	9019	HP1504101T2D	NA	NA	HP1504101T2D_N15	1
HP1504101T2D_N17	Endothelial	Stromal (Endothelial)	2	pancreas	Pancreas_Healthy_Sandberg_2016	203130	HP1504101T2D	NA	NA	HP1504101T2D_N17	1
HP1504101T2D_N18	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	454851	HP1504101T2D	NA	NA	HP1504101T2D_N18	1
HP1504101T2D_N19	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	847991	HP1504101T2D	NA	NA	HP1504101T2D_N19	1
HP1504101T2D_N2	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1846120	HP1504101T2D	NA	NA	HP1504101T2D_N2	1
HP1504101T2D_N20	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	345836	HP1504101T2D	NA	NA	HP1504101T2D_N20	1
HP1504101T2D_N21	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	269643	HP1504101T2D	NA	NA	HP1504101T2D_N21	1
HP1504101T2D_N23	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	438373	HP1504101T2D	NA	NA	HP1504101T2D_N23	1
HP1504101T2D_N24	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	544802	HP1504101T2D	NA	NA	HP1504101T2D_N24	1
HP1504101T2D_N3	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	369669	HP1504101T2D	NA	NA	HP1504101T2D_N3	1
HP1504101T2D_N4	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	589668	HP1504101T2D	NA	NA	HP1504101T2D_N4	1
HP1504101T2D_N5	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	948585	HP1504101T2D	NA	NA	HP1504101T2D_N5	1
HP1504101T2D_N6	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	134180	HP1504101T2D	NA	NA	HP1504101T2D_N6	1
HP1504101T2D_N7	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	417211	HP1504101T2D	NA	NA	HP1504101T2D_N7	1
HP1504101T2D_O1	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	153604	HP1504101T2D	NA	NA	HP1504101T2D_O1	1
HP1504101T2D_O10	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	606148	HP1504101T2D	NA	NA	HP1504101T2D_O10	1
HP1504101T2D_O11	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	174779	HP1504101T2D	NA	NA	HP1504101T2D_O11	1
HP1504101T2D_O13	Alpha	Endocrine (Alpha)	2	pancreas	Pancreas_Healthy_Sandberg_2016	755079	HP1504101T2D	NA	NA	HP1504101T2D_O13	1
HP1504101T2D_O14	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	1228969	HP1504101T2D	NA	NA	HP1504101T2D_O14	1
HP1504101T2D_O15	Acinar	Acinar	2	pancreas	Pancreas_Healthy_Sandberg_2016	2816306	HP1504101T2D	NA	NA	HP1504101T2D_O15	1
HP1504101T2D_O17	Pancreatic Stellate	Stromal (Fibroblast)	2	pancreas	Pancreas_Healthy_Sandberg_2016	650739	HP1504101T2D	NA	NA	HP1504101T2D_O17	1
HP1504101T2D_O19	Gamma	Endocrine (Gamma)	2	pancreas	Pancreas_Healthy_Sandberg_2016	747204	HP1504101T2D	NA	NA	HP1504101T2D_O19	1
HP1504101T2D_O20	Delta	Endocrine (Delta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	70640	HP1504101T2D	NA	NA	HP1504101T2D_O20	1
HP1504101T2D_O21	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	1580099	HP1504101T2D	NA	NA	HP1504101T2D_O21	1
HP1504101T2D_O22	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	50727	HP1504101T2D	NA	NA	HP1504101T2D_O22	1
HP1504101T2D_O23	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	174440	HP1504101T2D	NA	NA	HP1504101T2D_O23	1
HP1504101T2D_O24	Beta	Endocrine (Beta)	2	pancreas	Pancreas_Healthy_Sandberg_2016	128831	HP1504101T2D	NA	NA	HP1504101T2D_O24	1
